,email,nombre
0,acastro_ccv@larinconada.es,Centro Cultural de la Villa
1,acevedorendoesther@gmail.com,Teatro Municipal Juan Diego
2,albolotecultura@albolote.com,Centro Sociocultural Fernando de los Ríos
3,chemamurillo70@gmail.com,Auditorio Municipal
4,cultura@alhaurindelatorre.es,Centro Cultural Vicente Aleixandre
5,cultura@aytolucena.es,"Auditorio Municipal de Lucena ""Manuel Lara
Cantizani"""
6,cultura@montoro.es,Teatro Municipal Miguel Romero Esteo
7,culturaberja@gmail.com,"Teatro Ciudad de Berja ""Miguel Salmerón"""
8,irico@ceuta.es,Teatro Auditorio del Revellín
9,joseantmoreno@marbella.es,CAE La Alcoholera
10,luismiguel.delgado@lalinea.es,Teatro Paseo de La Velada
11,mgalvarez@lepe.es,Teatro Municipal Alcalde Juan Manuel Santana
12,teatroelsilo@pozoblanco.es,Teatro El Silo
13,a.cultura@aytoboadilla.com,Auditorio Municipal
14,amaya.acosta@alpedrete.es,"Casa de Cultura
Asunción Balaguer"
15,coliseo@v-odon.es,Auditorio Teresa Berganza
16,concejalia.cultura@ciudad-chinchon.com,Teatro Municipal
17,cristina.ramirez@ayto-sanfernando.com,Cristina
18,cultura.teatro@ayto-navalcarnero.com,Teatro Municipal Centro
19,cultura@ayto-villacanada.es,Centro Cultural La Despernada
20,cultura@sanmartindevaldeiglesias.es,Teatro Municipal
21,desarrollolocal@colmenardelarroyo.es,"Centro Deportivo Cultural El
Corralizo"
22,ebarrasa@pozuelodealarcon.org,MIRA Teatro
23,escenaparla@ayuntamientoparla.es,Mar
24,jose.ejeda@colmenardeoreja.com,Teatro Municipal Diéguez
25,manuelgo@villadelprado.es,"Centro de las Artes de Villa del
Prado"
26,mayte.cultura@aytovaldemorillo.com,Mayte
27,manuel.lagos@madrid.org,"Centro Comarcal de
Humanidades Cardenal Gonzaga
Sierra Norte La Cabrera"
28,ramong@valdemoro.es,Ramon
29,taniasanchez@aytocubasdelasagra.es,"Centro de Artes Escénicas
Juan Pérez Zúñiga"
30,teatroauditorio@aytoalcobendas.org,Ana Belén
31,administracion2@baltanas.es,Cine Cooperativa
32,administracion@ayuntamientoona.com,"Centro Cultural ""Nazaret"""
33,alcaldia@villaviudas.es,"Centro Cultural ""José Ignacio Marín  Cantera"""
34,ayuntamiento@castroverdedecerrato.gob.es,Centro de Convivencia de Castroverde de Cerrato
35,ayuntamiento@montemayordepililla.gob.es,"Cine ""Arenas"""
36,ayuntamiento@uronesdecastroponce.gob.es,"Teatro ""Corral de la Anuncia"""
37,ayuntamiento@vitigudino.es,Centro Cultural
38,ayuntamientoaldeadavila@gmail.com,Centro Cultural
