,email,nombre
0,albolotecultura@albolote.com,Centro Sociocultural Fernando de los Ríos
1,irico@ceuta.es,Teatro Auditorio del Revellín
2,joseantmoreno@marbella.es,CAE La Alcoholera
3,mgalvarez@lepe.es,Teatro Municipal Alcalde Juan Manuel Santana
4,concejalia.cultura@ciudad-chinchon.com,Teatro Municipal
5,cristina.ramirez@ayto-sanfernando.com,Cristina
6,jose.ejeda@colmenardeoreja.com,Teatro Municipal Diéguez
7,manuelgo@villadelprado.es,"Centro de las Artes de Villa del
Prado"
8,teatroauditorio@aytoalcobendas.org,Ana Belén
9,cultura@boecillo.es,Centro Cívico Municipal de Boecillo
10,gestor.cultural@aytocuellar.es,Sala Cultural “Alfonsa de la Torre”
11,informacion@teatrojuanbravo.org,Teatro Juan Bravo
12,teatro@ponferrada.org,Teatro Municipal Bergidum de Ponferrada
13,musica@quintanardelrey.es,casa de cultura
14,biblioteca@villaescusa.es,VILLAESCUSA
15,acruells@vilanova.cat,Ajuntament de Vilanova i la Geltrú. Regidoria de Cultura
16,ainap@ccparcsandaru.cat,Centre Cívic Parc Sandaru
17,artsesceniques@olot.cat,TPO
18,capdevilacq@argentona.cat,Ajuntament Argentona - Festival Sense Portes
19,carolina.tejon@ccsagradafamilia.net,Centre Cívic Sagrada Família
20,cciporqueres@gmail.com,Ajuntament de Porqueres
21,chaveslj@argentona.cat,Ajuntament Argentona - Festival Sense Portes
22,corbalancc@vilassardedalt.cat,Ajuntament Vilassar de Dalt
23,creig@tarragona.cat,Ajuntament Tarragona - Àrea de Cultura
24,cultura@alcarras.cat,Ajuntament d' Alcarràs
25,cultura@cardedeu.cat,Ajuntament de Cardedeu
26,daphmalherbe@gmail.com,El Garitu
27,dinamitzacio@casadelrellotge.net,Centre Cívic Casa del Rellotge / Sala Pepita Casanellas / Sala Maremar
28,direccio@sedeta.cat,Centre Cívic La Sedeta
29,eduard.garcia@secretariat.cat,"Secretariat d'Entitats de Sants, Hostafrancs i la Bordeta"
30,fenix@salafenix.com,Sala Fènix
31,gestio@canclariana.cat,Centre Cívic Can Clariana Cultural
32,gm@suikapro.com,Gabriela
33,info@bipolart.org,Associació Bipol.art
34,lllamazares@teatreauditori.granollers.cat,Teatre Auditori de Granollers
35,molmo@auditori.cat,L' Auditori de Barcelona
36,nhernandez@ajlagarriga.cat,Ajuntament de la Garriga
37,santalolj@ametlla.cat,Ajuntament L'Ametlla del Vallès
38,tsires@teatreauditori.granollers.cat,Teatre Auditori de Granollers
39,kultura@beasain.eus,USURBE UDAL ANTZOKIA
40,kultura@berriz.eus,BERRIZEKO KULTURA ETXEA
41,kultura@eibar.eus,COLISEO
42,jrodriguez@navalvillardepela.es,Ayuntamiento
43,unipopular@lahaba.es,Casa de Cultura
44,david.pastoriza@muros.gal,Centro Cultural e Xuvenil
45,departamentocultura@ponteareas.gal,Auditorio Reveriano Soutullo
46,jesus.moure@vigo.org,Auditorio Municipal
47,oficina.teatro@depourense.es,Teatro Principal
48,x.rodriguez@coruna.es,Teatro Rosalía de Castro
49,teatrocervantes@abaran.es,Teatro Cervantes (Espacio B)
50,cultura@aoiz.es,Aoiz / Agoitz
51,cultura@castejon.com,Castejón
52,cultura@sanguesa.es,Sangüesa / Zangoza
53,kultura@olazti.com,Olazti / Olazagutía
54,kulturetxea@irurtzun.eus,Irurtzun
55,mperez@beriain.es,Beriáin
56,ccultural@alcasser.es,Centre Cultural
57,joseemilio.sancho@canals.es,"Centre Cultural ""Papa Calixte III"""
58,vsanfran@xirivella.es,Teatre Auditori Municipal
59,tefunio@yahoo.es,Antonio
60,mtroguet@gmail.com,Margarida
61,gerencia@redescena.net,Elvira
62,coordinacion@cuartapared.es,Cuarta Pared
63,yomeexperimento@gmail.com,Marisa
64,iurre@haatik.com,unknown
65,mimdireccio@gmail.com,unknown
