"window_start";"window_end";"metric";"value"
"2024-06-25";"2024-07-25";"website_clicks";"266"
"2024-06-25";"2024-07-25";"profile_views";"503"
"2024-06-25";"2024-07-25";"accounts_engaged";"0"
"2024-06-25";"2024-07-25";"total_interactions";"0"
"2024-06-25";"2024-07-25";"likes";"0"
"2024-06-25";"2024-07-25";"comments";"0"
"2024-06-25";"2024-07-25";"shares";"0"
"2024-06-25";"2024-07-25";"saves";"0"
"2024-06-25";"2024-07-25";"replies";"0"
"2024-06-25";"2024-07-25";"follows_and_unfollows";""
"2024-07-25";"2024-08-24";"website_clicks";"8"
"2024-07-25";"2024-08-24";"profile_views";"42"
"2024-07-25";"2024-08-24";"accounts_engaged";"0"
"2024-07-25";"2024-08-24";"total_interactions";"0"
"2024-07-25";"2024-08-24";"likes";"0"
"2024-07-25";"2024-08-24";"comments";"0"
"2024-07-25";"2024-08-24";"shares";"0"
"2024-07-25";"2024-08-24";"saves";"0"
"2024-07-25";"2024-08-24";"replies";"0"
"2024-07-25";"2024-08-24";"follows_and_unfollows";""
"2024-08-24";"2024-09-23";"website_clicks";"7"
"2024-08-24";"2024-09-23";"profile_views";"60"
"2024-08-24";"2024-09-23";"accounts_engaged";"0"
"2024-08-24";"2024-09-23";"total_interactions";"0"
"2024-08-24";"2024-09-23";"likes";"0"
"2024-08-24";"2024-09-23";"comments";"0"
"2024-08-24";"2024-09-23";"shares";"0"
"2024-08-24";"2024-09-23";"saves";"0"
"2024-08-24";"2024-09-23";"replies";"0"
"2024-08-24";"2024-09-23";"follows_and_unfollows";""
"2024-09-23";"2024-10-23";"website_clicks";"15"
"2024-09-23";"2024-10-23";"profile_views";"68"
"2024-09-23";"2024-10-23";"accounts_engaged";"0"
"2024-09-23";"2024-10-23";"total_interactions";"0"
"2024-09-23";"2024-10-23";"likes";"0"
"2024-09-23";"2024-10-23";"comments";"0"
"2024-09-23";"2024-10-23";"shares";"0"
"2024-09-23";"2024-10-23";"saves";"0"
"2024-09-23";"2024-10-23";"replies";"0"
"2024-09-23";"2024-10-23";"follows_and_unfollows";""
"2024-10-23";"2024-11-22";"website_clicks";"39"
"2024-10-23";"2024-11-22";"profile_views";"230"
"2024-10-23";"2024-11-22";"accounts_engaged";"0"
"2024-10-23";"2024-11-22";"total_interactions";"0"
"2024-10-23";"2024-11-22";"likes";"0"
"2024-10-23";"2024-11-22";"comments";"0"
"2024-10-23";"2024-11-22";"shares";"0"
"2024-10-23";"2024-11-22";"saves";"0"
"2024-10-23";"2024-11-22";"replies";"0"
"2024-10-23";"2024-11-22";"follows_and_unfollows";""
"2024-11-22";"2024-12-22";"website_clicks";"42"
"2024-11-22";"2024-12-22";"profile_views";"303"
"2024-11-22";"2024-12-22";"accounts_engaged";"0"
"2024-11-22";"2024-12-22";"total_interactions";"0"
"2024-11-22";"2024-12-22";"likes";"0"
"2024-11-22";"2024-12-22";"comments";"0"
"2024-11-22";"2024-12-22";"shares";"0"
"2024-11-22";"2024-12-22";"saves";"0"
"2024-11-22";"2024-12-22";"replies";"0"
"2024-11-22";"2024-12-22";"follows_and_unfollows";""
"2024-12-22";"2025-01-21";"website_clicks";"34"
"2024-12-22";"2025-01-21";"profile_views";"115"
"2024-12-22";"2025-01-21";"accounts_engaged";"0"
"2024-12-22";"2025-01-21";"total_interactions";"0"
"2024-12-22";"2025-01-21";"likes";"0"
"2024-12-22";"2025-01-21";"comments";"0"
"2024-12-22";"2025-01-21";"shares";"0"
"2024-12-22";"2025-01-21";"saves";"0"
"2024-12-22";"2025-01-21";"replies";"0"
"2024-12-22";"2025-01-21";"follows_and_unfollows";""
"2025-01-21";"2025-02-20";"website_clicks";"24"
"2025-01-21";"2025-02-20";"profile_views";"154"
