"From Date";"To Date"
22-10-2024;26-02-2026

"Campaign ID";"Campaign Name";"Name from";"Email from";"Sending date";Subject;Sent;"Non delivered";"Hard bounces";"Soft bounces";"Non delivered rate";Delivered;"Total opens";Opens;"Trackable open rate";"Apple MPP Opens";"Total clicked";Clicked;"Click rate";"Click-to-Open rate";Unsubscribed;"Unsubscription rate";"Delivered rate";"Hard Bounces rate";"Soft Bounces rate";Complaints;"Complaints rate"
5;"Resumen Webinar enGira!";enGira!;info@engira.art;04-12-2024;"Resumen Webinar enGira!";103;0;0;0;0%;103;247;87;84,47%;19;34;19;18,45%;27,94%;0;0%;100%;0%;0%;0;0%
6;"Artistas Catálogo";enGira!;info@engira.art;23-10-2024;"Participación Piloto enGira!";3;0;0;0;0%;3;13;3;100%;0;3;1;33,33%;33,33%;0;0%;100%;0%;0%;0;0%
8;"Artistas seleccionados";enGira!;info@engira.art;29-10-2024;"Artistas seleccionados";38;2;0;2;5,26%;36;773;44;100%;9;99;32;88,89%;91,43%;0;0%;94,74%;0%;5,26%;0;0%
10;"ARTISTAS TOOLKIT";enGira!;info@engira.art;28-10-2024;"Participación Piloto enGira​!";122;5;2;3;4,10%;117;974;134;100%;33;199;70;59,83%;69,31%;0;0%;95,90%;1,64%;2,46%;1;0,82%
12;Recordatorio;enGira!;info@engira.art;29-10-2024;"Participación Piloto enGira!";24;1;0;1;4,17%;23;214;27;100%;5;25;12;52,17%;54,55%;0;0%;95,83%;0%;4,17%;0;0%
15;"Invitación Piloto enGira! Programadores";enGira!;info@engira.art;05-11-2024;"Programa Piloto enGira!";89;11;5;6;12,36%;78;12;10;12,82%;2;1;1;1,28%;12,50%;0;0%;87,64%;5,62%;6,74%;0;0%
18;"Invitación Piloto programadores Madrid/Galicia/Andalucía";enGira!;info@engira.art;05-11-2024;"Programa Piloto enGira!";163;18;6;12;11,04%;145;73;30;20,69%;6;15;10;6,90%;41,67%;0;0%;88,96%;3,68%;7,36%;0;0%
19;"Invitación Piloto Porgramadores Extremadura-Cantabria";enGira!;info@engira.art;06-11-2024;"Programa Piloto enGira!";98;28;10;18;28,57%;70;18;12;17,14%;4;0;0;0%;0%;0;0%;71,43%;10,20%;18,37%;0;0%
20;"Invitación Piloto programadores Cataluña";enGira!;info@engira.art;06-11-2024;"Programa Piloto enGira!";189;33;6;27;17,46%;156;112;50;32,05%;12;13;8;5,13%;21,05%;3;1,92%;82,54%;3,17%;14,29%;0;0%
22;"Confirmación Jornadas";enGira!;info@engira.art;08-11-2024;"Jornadas enGira!";13;0;0;0;0%;13;73;16;100%;4;0;0;0%;0%;0;0%;100%;0%;0%;0;0%
