breakdown,category,value
city,"London, England",2
city,"Cáceres, Extremadura",2
city,"Argentona, Cataluña",2
city,"San Cristóbal de La Laguna, Islas Canarias",2
city,"Barcelona, Cataluña",64
city,"Tárrega, Cataluña",2
city,"Rio de Janeiro, Rio de Janeiro (state)",3
city,"Chiclana de la Frontera, Andalusia",2
city,"Alcalá de Henares, Comunidad de Madrid",4
city,"Palma de Mallorca, Balearic Islands",2
city,"Vigo, Galicia",4
city,"El Prat de Llobregat, Cataluña",3
city,"Las Palmas de Gran Canaria, Islas Canarias",3
city,"Jaén, Andalusia",3
city,"El Escorial, Comunidad de Madrid",2
city,"Granada, Andalusia",11
city,"Leganés, Comunidad de Madrid",2
city,"Paris, Île-de-France",2
city,"Buenos Aires, Ciudad Autónoma de Buenos Aires",5
city,"Córdoba, Andalusia",3
city,"Cadiz, Andalusia",3
city,"Ulldecona, Cataluña",2
city,"Valladolid, Castilla y Leon",6
city,"Seville, Andalusia",19
city,"Madrid, Comunidad de Madrid",255
city,"A Coruña, Galicia",2
city,"Valencia, Comunidad Valenciana",35
city,"San Luis, Balearic Islands",2
city,"Lima, Lima Region",2
city,"Bilbao, País Vasco",9
city,"Pinto, Comunidad de Madrid",2
city,"Alicante, Comunidad Valenciana",3
city,"Santander, Cantabria",5
city,"Salou, Cataluña",2
city,"Olot, Cataluña",2
city,"Lleida, Cataluña",3
city,"Málaga, Andalusia",3
city,"Vitoria-Gasteiz, País Vasco",5
city,"Donostia-San Sebastián, País Vasco",2
city,"Granollers, Cataluña",3
city,"Santiago, Santiago Metropolitan Region",2
city,"Las Rozas de Madrid, Comunidad de Madrid",2
city,"Cullera, Comunidad Valenciana",2
city,"Murcia, Region of Murcia",10
city,"Cercedilla, Comunidad de Madrid",2
