,media_id,media_type,is_reel,permalink,timestamp,caption,status,metrics_used,metrics_dropped,views,reach,likes,comments,saved,shares,total_interactions,ig_reels_avg_watch_time,ig_reels_video_view_total_time,profile_activity,profile_visits
0,18071586206348174,VIDEO,True,https://www.instagram.com/reel/DRZFycCDeCe/,2025-11-23T08:29:17+0000,"🗓️ 𝗣𝗿𝗼́𝘅𝗶𝗺𝗼 𝗺𝗶𝗲́𝗿𝗰𝗼𝗹𝗲𝘀 𝟮𝟲 𝗱𝗲 𝗻𝗼𝘃𝗶𝗲𝗺𝗯𝗿𝗲 
🕢 A las 𝟭𝟭 𝗔𝗠

Participa en nuestra 𝘄𝗲𝗯𝗶𝗻𝗮𝗿 𝗴𝗿𝗮𝘁𝘂𝗶𝘁𝗮 donde compartiremos algunas claves para mejorar la circulación de tu obra y consejos sobre cómo sacar partido a los recursos de enGira!.

Además, daremos información sobre nuestros nuevos programas de 𝗮𝗰𝗼𝗺𝗽𝗮𝗻̃𝗮𝗺𝗶𝗲𝗻𝘁𝗼 𝗽𝗿𝗼𝗳𝗲𝘀𝗶𝗼𝗻𝗮𝗹 que lanzaremos a partir de enero. 

📝 𝗛𝗮𝘇 𝗲𝗹 𝗿𝗲𝗴𝗶𝘀𝘁𝗿𝗼 en el enlace que encontrarás en RECURSOS de nuestras 𝗦𝘁𝗼𝗿𝗶𝗲𝘀 𝗱𝗲𝘀𝘁𝗮𝗰𝗮𝗱𝗮𝘀.

¡Te esperamos!

#artesvivas #teatro #creacioncontemporanea #danza #performance #artesescenicas #circo #distribucion #movilidadartistas",200,"views,reach,likes,comments,saved,shares,total_interactions,ig_reels_avg_watch_time,ig_reels_video_view_total_time",,1724,1031,39,10,15,12,77,8178.0,9323287.0,,
1,17924873466153742,VIDEO,True,https://www.instagram.com/reel/DP30BFgDXFU/,2025-10-16T13:49:33+0000,"Acércate a nuestro stand 241 en @mercartes_es y conoce de cerca nuestra plataforma para la promoción y la movilidad de artes vivas. 

Con el apoyo de @culturagob y la colaboración de @fundacionsgae 

#mercartes2025 #artesvivas",200,"views,reach,likes,comments,saved,shares,total_interactions,ig_reels_avg_watch_time,ig_reels_video_view_total_time",,1844,1086,42,2,2,13,59,5467.0,7101837.0,,
2,18134337274395559,IMAGE,False,https://www.instagram.com/p/DHZpx0Bt3I9/,2025-03-20T00:20:32+0000,"Pasé por dFeria. Fui con ganas de hablar de la plataforma enGira, de la creación contemporánea, de encontrar cómplices para seguir tejiendo redes. Hice todo eso con mesura, sin la ansiedad que suelen provocar las ferias y los mercados. Y encontré algún que otro faro en medio del Cantábrico. También caras amigas y queridas, algunas visitando la feria por primera vez. Agradecida al equipo de @donostiakultura por la acogida y la increíble organización.",200,"reach,views,likes,comments,saved,shares,total_interactions,profile_activity,profile_visits",,1011,213,22,1,0,0,23,,,0.0,6.0
3,18052603295141608,IMAGE,False,https://www.instagram.com/p/DG5huktNbjs/,2025-03-07T12:54:29+0000,"📢¡Atención programadorxs!

Con la 𝗯ú𝘀𝗾𝘂𝗲𝗱𝗮 𝗮𝘃𝗮𝗻𝘇𝗮𝗱𝗮 de enGira! podrás utilizar filtros específicos para encontrar espectáculos acordes a tus intereses.

El registro en la plataforma es gratuito. Consulta las preguntas frecuentes en el enlace de la bio.

#diainternacionaldelamujer #teatro #artesvivas #8m #perspectivafeminista",200,"reach,views,likes,comments,saved,shares,total_interactions,profile_activity,profile_visits",,1014,247,17,0,6,0,23,,,4.0,7.0
4,18087265219605722,CAROUSEL_ALBUM,False,https://www.instagram.com/p/DGfTzm8th8l/,2025-02-25T08:32:35+0000,"📢¡Atención programadores!

𝟭, 𝟮, 𝟯... ¡𝗽𝗲𝗿𝗳𝗼𝗿𝗺𝗮! es una experiencia interactiva e inmersiva en la que los niños se convierten en artistas y accionadores de esculturas móviles junto a Elisa Miravalles. Se trata de una actividad innovadora que propone generar un jardín escultórico cuya principal característica es la movilidad y el dinamismo con sistemas de manipulación y construcción de objetos. Los participantes jugarán con elementos como el dibujo, el volumen o la improvisación, a los que se añadirán principios básicos del arte de acción, como el cuerpo, el tiempo o el espacio, en una experiencia que potencia la creatividad y la imaginación.

¡Contacta con la artista a través de la plataforma! Link en bio.

#artesvivas #publicoinfantil",200,"reach,views,likes,comments,saved,shares,total_interactions,profile_activity,profile_visits",,865,132,3,0,0,0,3,,,0.0,1.0
5,18041983403376166,CAROUSEL_ALBUM,False,https://www.instagram.com/p/DF9utpNNWAd/,2025-02-12T07:33:31+0000,"𝗚𝘆𝗺𝗸𝗵𝗮𝗻𝗮 es una pieza escénica participativa acerca de los cuidados que te invita a escuchar, a jugar y a transformarte mediante experiencias introspectivas y extrospectivas, visibles y privadas. Daremos un paseo, real e imaginario, a través del tiempo y del espacio, hacia tu infancia y tu vejez, y hacia lugares y vidas paralelas. 

Contacta con la artista a través de enGira!

#mediacionartistica #artesvivas #artesescenicas #contrataciondeartistas",200,"reach,views,likes,comments,saved,shares,total_interactions,profile_activity,profile_visits",,3773,1390,33,0,3,7,43,,,5.0,10.0
6,18056909753018490,VIDEO,True,https://www.instagram.com/reel/DFzrW_YOUcT/,2025-02-08T09:53:54+0000,"🔊Atención programadores!! En esta demo os contamos el funcionamiento de las herramientas inteligentes de enGira! diseñadas para facilitar la programación de espectáculos contemporáneos. 

Podéis ver el vídeo completo en el enlace de la bio.

enGira! es una plataforma para la promoción de artistas contemporáneos desarrollada con el apoyo de @culturagob en colaboración con @fundacionsgae 

#reddeteatros #artesescenicas #teatro #artesvivas",200,"views,reach,likes,comments,saved,shares,total_interactions,ig_reels_avg_watch_time,ig_reels_video_view_total_time",,474,250,9,0,1,1,11,8325.0,2664310.0,,
7,18342420145146591,CAROUSEL_ALBUM,False,https://www.instagram.com/p/DFXZswmNz2O/,2025-01-28T10:18:46+0000,"ᴛʜᴇ ᴍɪʀᴀᴄʟᴇ ᴡᴏʀᴋᴇʀ es una pieza que indaga entre los límites de la realidad y la ficción, teniendo en su eje central la idea de soledad extrema, de las soledades elegidas e impuestas y de la violencia creciente del sistema en el que vivimos.
Mediante el uso del vídeo en directo como elemento narrativo fundamental y experimentando con la imagen y otros modos de generar presencias en escena, nos invitan a compartir una experiencia entre los límites del cine, el teatro y un concierto.
La obra se despliega como una revista de variedades en la que, a través de diferentes técnicas y estilos escénicos, se construye un imaginario con el que repensar las formas de habitar nuestras vidas.

#artesvivas #nuevasteatralidades #sonoridades #teatr #theatre",200,"reach,views,likes,comments,saved,shares,total_interactions,profile_activity,profile_visits",,6759,1749,125,6,1,6,138,,,2.0,25.0
8,18019505753423446,CAROUSEL_ALBUM,False,https://www.instagram.com/p/DFLCbjItIU2/,2025-01-23T15:04:33+0000,"En algún rincón del Universo, una pastora incorpórea encuentra el Voyager Golden Record, lo escucha y decide visitar la Tierra. En una escala en Gante, entra en la catedral San Bavón para contemplar el retablo del Cordero místico. Se queda pasmada. Se acaba de enamorar sin remedio de aquel cordero.

Tomando como punto de partida las líricas y los folclores pastoriles del Mediterráneo, se entrega al espectador una historia de amor interespecies digna de las mitologías grecolatinas.

#teatro #artesvivas #dramapastoril #folklore #sonoridades #cienciaficción",200,"reach,views,likes,comments,saved,shares,total_interactions,profile_activity,profile_visits",,3647,1902,70,5,6,6,87,,,3.0,20.0
9,18299351407229080,CAROUSEL_ALBUM,False,https://www.instagram.com/p/DE5SCKQNZRx/,2025-01-16T17:34:34+0000,"𝗟𝗮 𝗖𝗢𝗦𝗔 lleva desde 2007 llevando la cultura al espacio público, generando espacios innovadores de convivencia y creación comunitaria, y llevando a cabo experimentos sonoros colectivos. 𝗟𝗮 𝗖𝗢𝗦𝗔 está dotada de todo tipo de instrumentos musicales con los que se graban canciones comunitarias y se realizan experimentos sonoros. 𝗟𝗮 𝗖𝗢𝗦𝗔 cuenta ya con un enorme archivo de discos, vídeos y fotos a partir de su paso por ciudades, pueblos e instituciones de toda España: desde Matadero Madrid, MACBA, festivales como Cuéntalo de Logroño, barrios de ciudades como Madrid, Oviedo, Barcelona, entre otros y pueblos de la España rural. 𝗟𝗮 𝗖𝗢𝗦𝗔 graba canciones, podcasts, memorias, y recursos que ponen en valor la creatividad. 

#sonoridades #arteurbano #teatrocomunitario #artesvivas #mediacionartistica",200,"reach,views,likes,comments,saved,shares,total_interactions,profile_activity,profile_visits",,2232,1110,101,1,4,1,107,,,0.0,7.0
